name,skin_type,date,date_original,comment
Meisyaputri23,"Normal, Medium Light, Neutral",2023-11-04,04 Nov 2023,"Pengalaman saya ketika memakai moisturizer ini itu ketika di aplikasikan di wajah, kulit saya menjadi sangat lembab, kenyal, dan harga juga sangat affrodable, membantu memudarkan kemerahan di wajah saya dan alhamdulillah cocok juga di kulit wajah saya"
Caca2000,",18 and Under",2023-11-04,04 Nov 2023,"Sangat bagus untuk menghilangkan jerawat, tekstur ringan, sangat suka, memuaskan, melembabkan kulit, cocok utk semua jenis kulit, seperti kulit berminyak, normal, atau berjerawat. Dapat mencerahkan kulit."
suwantyshn,",19 - 24",2023-11-04,04 Nov 2023,"saya sangat suka dengan produk ini karna membuat kulit saya lembab, cerah, dan terlihat sangat sehat, pokoknya rekomendasi banget produknya, mantulll banget, belinyapun gampang kali semua ada dimana mana terima kasih banyak terima kasih"
lidiatbng,"Normal, Medium Light, Cool",2023-11-04,04 Nov 2023,"keren bgt product hebat ciptaan anak dunia, hasilnya memuaskannn dan sangat baik digunakan, tidak membuat alergi dan cocok dipakai kapan saja dan umur berapa aja hebat deh dan keren banget, aku sukak pakaiii produk ini keren banget i love u"
MargarethaN,"Combination, Medium, Neutral",2023-11-04,04 Nov 2023,"awalnya ragu sama ni produk. tapi asli terkaget malah buat alisku makin tebal!! selain itu recommended banget karna kulit kemerahanku berkurang drastis dan skin barrier makin bagus. ga cuma itu, ngelembapin banget. recommended bangettt!!"
ziyazein,"Combination, Medium Light, Neutral",2023-11-04,04 Nov 2023,"Aku uda repurchase ini ke tiga kalinya, karena emang secocok itu sama produknya, selain ngebantu buat skin barrier, produk ini juga bagus banget jadi base sebelum make up. Make up aku jadi lebih nempel, flawless trus ga nge crack sama sekali"
yunisarah06,"Combination, Medium Light, Neutral",2023-11-04,04 Nov 2023,"Produk skintific ini cocok di kulit aku yg senstif dan dapat melembakan kulit kering, dan mengurangi kemerahan di kulit wajah. Produknya aman di gunakan dan sangat bagus untuk kulit berjerawat juga ini sangat recomendasi sekali jadi harus pakai ini"
sinthia19,"Combination, Medium Light, Cool",2023-11-04,04 Nov 2023,"Pakai produk moist nya yang warna pink, bagus dan mencerahkan wajah, cocok juga buat wajah berminyak dan ga buat berjerawat. Sangat melembapkan wajah dan harga nya juga terjangkau buat kaum pelajar, suka banget semua produknyaa kqrena kualitasnya yang mantepp"
cerealpagii,"Normal, Medium Light, Neutral",2023-11-04,04 Nov 2023,Mois Skintific produk yang bagus untuk kulit aku karena dia mempunyai kandungan ceremaid yang bisa memperkuat skin barier aku Sehingga aku tidak takut jika wajahku kusam dan juga jerawatan. Wpalagi buat wajah aku jadi gak kering dan menjadikan wajah aku menjadi lembab
DessyCharolina,"Combination, Medium Light, Warm",2023-11-04,04 Nov 2023,"mostirizer yang sangat nyaman dipake di kulit, terasa lembab di kulit dan sangat cocok untuk tipe kulit yang sensitif dan tergantung pada gimana kondisi kulit, produk ini sangat cocok dipake untuk berbagai umur dan berbagai kondisi kulitnya"
mutiara_2,"Dry, Light, Cool",2023-11-04,04 Nov 2023,awalnya mukq aku tu rusak banget kusam kering trus ad bruntusan berkali2 di bagian bawah bibir aku jadi setelah make facial wash nya aja muka aku langsung beraksi bangett muka kering jadi lembab bangett bruntusan aku mecah dan menghilang kulit aku cerah bangett
Lola_27,",19 - 24",2023-11-04,04 Nov 2023,bagus banget muka aku ketika Makai ini jadi bersih dan halus dan memang harga mahal tetapi kualitas bagus banget pokoknya ga pernah nyesal pake ini Klian semua harus pakai dan dijamin aman dan bersih selamat pakai bagi pemula bagus dan seru
anjuchrstina,"Dry, Medium, Cool",2023-11-04,04 Nov 2023,"Awal saya menggunakan skintific moisturizer karena saya merasa bahwa skin barrier saya mengalami damage sehingga saya memutuskan untuk memakai product ini, setelah menggunakan product ini skin barrier saya membaik dan make up lebih nempel🫶🏻🥰"
chewy,"Combination, Medium, Neutral",2023-11-04,04 Nov 2023,"ngaruh banget, sangat bagus, cocok untuk semua kulit. sering repurchase juga karena emang sebaguss itu. always suka sama produk skintific enggak pernah ada yang mengecewakan. very very recommended!!! jangan ragu"" dicoba ya benar"" sangat bagus"
nurul1209,"Oily, Medium Light, Neutral",2023-11-04,04 Nov 2023,sejauh ini produk yang saya gunakan sangatlah bergunaa dan juga harganya terjangkau bagi masyarakat indonesia . Kegunaannya juga sangat banyak dan produk produknya sangatlah menarik . Oleh karena itu saya beralih dari brand lain ke brand ini
FeliciaCalvina,"Combination, Medium Light, Neutral",2023-11-04,04 Nov 2023,sejauh ini produk yang saya gunakan sangatlah bergunaa dan juga harganya terjangkau bagi masyarakat indonesia . Kegunaannya juga sangat banyak dan produk produknya sangatlah menarik . Oleh karena itu saya beralih dari brand lain ke brand inj
patricia_lauren22,"Normal, Medium, Neutral",2023-11-04,04 Nov 2023,sejauh ini produk yang saya gunakan sangatlah bergunaa dan juga harganya terjangkau bagi masyarakat indonesia . Kegunaannya juga sangat banyak dan produk produknya sangatlah menarik . Oleh karena itu saya beralih dari brand lain ke brand inj
saniaaatarigan,"Oily, Medium Light, Neutral",2023-11-04,04 Nov 2023,"produknya bagus, udah make lebih dari setahun, dan emang se worth it itu, selalu repurchase kalo udah abis dan worth untuk harga nya dan selalu beli dimanapun, selalu cari produk ini dan temen-temen juga make produk ini karena emang bagus."
Yantoah,"Normal, Medium Light, Neutral",2023-11-04,04 Nov 2023,"barangnya bagus banget cocok di aku seneng banget aku make barang ini xixi, bagus buat kulit aku bikin kulit aku jadi lebih bersih cerah dan lembut juga pokoknya ini sih cocok banget kalian wajib coba sih produk ini pokoknya worth it to buy deh guys"
adilah_lubis21,"Combination, Medium Dark, Warm",2023-11-04,04 Nov 2023,"beli pertama karena viral, terus nyari di setiap e-commerce buat bandingin harga lebih murah yang mana, dan ketemu di Lazada! Dapat 2 moisturizer dan 1 serum dengan harga ga sampe 150k, sungguh worth it gasih?! Setelah dicoba cocok banget dan pengen beli lagi!"
lisacristin123,"Normal, Medium Light, Warm",2023-11-04,04 Nov 2023,"pengalaman memakai skintific acne sangat bagus, bisa menghilangkan jerawat dan meredahkan jerawat, dan memakai skintific sudah semua produk hampir dicoba dan mencoba nha tidak bikin saya menyesal karena sangat bangus dan saya rencananya ingin membeli lagi"
rgitataa,",19 - 24",2023-11-04,04 Nov 2023,"jujur ini bagus banget, ngilangin breakout aku😭😭 pokoknya kalau aku jerawatan trus aku pake ini jerawatnya terhalang dehhhh aku love banget🥰 ayoo yang jerawatan coba dehhh bagus amattt ga nyesel deh pokoknyaaa !! terimakasih skintifivccc"
melaniaangelptr,"Combination, Medium Light, Warm",2023-11-04,04 Nov 2023,"Kalo untuk produk 1 ini gausa diraguin lagiya, semua orang juga kayanya pake. Ini aku pake sebelum makeup bagus banget, makeup jadi nempel pol. Nyerapnya juga cepat, ga bikin berminyak banget. Untuk pemakain cukup lama muka jadi makin bersih"
_nrlarsmaaa,"Oily, Medium, Neutral",2023-11-04,04 Nov 2023,Bagussss bangettt ini buat beneri skin barierrr!! Wort it jugaaa !! Sampe aku racuni org rumah buat pake iniii . Rekom banget la pokokkkknyaaa !! Apalagi untuk skin barier yang hancur parahhh !! Sampe dirumah udah banyak bangett botolll mouis nyaa !!
ShaniaAzhariAdnan___,"Combination, Medium Light, Neutral",2023-11-04,04 Nov 2023,Bagusssss banget sampek udah bulak balek belik gak nyangka cocokkkk pokoknya wortitlah untuk cantik yuhuuuu sekarang malah kecanduannnn untuk kalian yng makek cocok kita freend pokoknya baguuuus sebagus2nya ayokkk cobain diatas make up jugak bagus pol
Jien,"Oily, Medium, Neutral",2023-11-04,04 Nov 2023,"moisturizer yang nggak neko neko. yang muka nya oily skin, dry skin, acne prone skin, bahkan sensitive skin pun cocok banget pakai ini. aku pribadi yang area hidung nya sensitive bener bener cocok pakai mois ini, sama sekali nggak perih dan nge calming banget"
weniwantul,"Oily, Medium Light, Cool",2023-11-04,04 Nov 2023,produk ini bagus sekali dan sangat rekomendasii saya sudahh memakai produk ini berulang kali dan sangat bagus dalam melembabkan sehingga teman teman saya bertanya saya menggunakan skinker apa dan saya merekomendasikan kepada teman saya produk skintific ini
MallaDamayanti,",19 - 24",2023-11-04,04 Nov 2023,"awalnya itu muka aku kusam bgt dan banyak banget bekas jerawat. tapi semenjak pakai produk ini kulit jadi lebih lembab, bekas jerawat samar, skinberie jga mulai terawat. sangat membantu untuk kulit remaja seperti kita, sekarang jadi lebih percaya diri lagi sebab produk ini. semoga kedepannya ttp terjaga kualitasnya. terimakasih sudah sangat membantu"
risadewita,"Dry, Medium, Neutral",2023-11-04,04 Nov 2023,"Untuk kulitku yang kering,produknya lumayan melembabkan, cocok untuk pemula untuk pakai sikincare dan remaja yang mau pakai skincare. recomended wajib dicoba ya teman reman sekalian. pakai sama retinolnya adalah combo yang mantappp"
putripia,"Combination, Medium Light, Neutral",2023-11-04,04 Nov 2023,"pertama kali pake produk ini awal nya ragu, tapi setelah melihat hasil nya jadi suka banget, terutama untuk moisturizer nya yang bikin muka aku lebih cerah, suka banget dan sengaruh itu di aku, sampe sekarang aku tetap suka pake moisturizer ini"
putrisirait_,"Oily, Medium Light, Neutral",2023-11-04,04 Nov 2023,Produknya bagus dan mantap apalagi mosteraizernya bagus banget buat kulit berjerawat dan di aku bagus banget pokoknya scintific mantul untuk semua jenis ukulit dan gak bakal nyesel kalau udah pakai produk skintific dan aku udah nyoba langsung
widiyaya,"Dry, Light, Cool",2023-11-04,04 Nov 2023,"Barangnya bagus banget, mudah menyerap, tekstur nya lembut mudah di play tidak mendempul bagus untuk segala jenis kulit barangnya muda di bawa kemana-mana, harga bersahabat untuk mahasiswa, selalu menjadi pilihan pertama untuk skincare"
tiaraanggreini,"Normal, Medium, Neutral",2023-11-04,04 Nov 2023,"saya menggunakan skintific serum sunscreen 50spf++, skintific mosturizer dan skintific serum niacinamide sudah lama karena kualitasnha bagus dan sangat sesuai kebutuhan kulit saya. pokoknya skintific the best deh.. gak nyesal pake ini.."
Naomi_18,"Combination, Light, Neutral",2023-11-04,04 Nov 2023,"cantik bangus banget tekstur nya sangat ringan sangat bagus untuk kalangan sekolah dan kuliah..... untuk harga nya sangat sangat terjangkau, untuk semua kalangan....... sangat gampang di cari di semua store dan e-commerce lain nya seperti shoppe dll"
Maudy_it,"Combination, Medium Dark, Warm",2023-11-04,04 Nov 2023,"produknya sangat bagus untuk wajah saya, saya sangat suka dan buat kalian ini recomended banget pokoknya kalian wajib beli dan coba rasakan sendiri skintific ini di wajah kalian auto glowing deh pastinya ga bakal nyesellllllllllllllllll"
Nisa0809,"Dry, Medium, Neutral",2023-11-04,04 Nov 2023,salah satu moisturizer yang aku ga nyesal untuk beli berulang kali ditahun ini. ga ada kalo aku bilang siyh karena sebagus itu. buat wajah lembab banget. rugi baru tau produk ini bukan dari dulu. harganya juga murah siyh menurut aku. boleh donk ya
hauranindy,"Oily, Medium Light, Warm",2023-11-04,04 Nov 2023,udah pakai moisturizer ini sekitar tiga bulan teksturnya lembut lembab enak dipakai dan wanginya soft tidak menyengat untuk harganya affrodable dan packagingnha juga lucu warna biru muda gemes cocok untuk all skin type bahkan untuk acne juga aman
Lanaaaa,"Oily, Medium, Neutral",2023-11-04,04 Nov 2023,Saya beli ini pas ada promo di tiktokshop sebelum tiktoksop ditutup saya beli dengan harga murah alhamdulillah kirain karna viral doang ternyata bagus banget pori” ku mengecil dan mulus dan memang bermintak banget di wajah aku yg oily overall bagus kok
larasneun,"Combination, Medium, Cool",2023-11-04,04 Nov 2023,dengan memakai skintific kulit saya menjadi sangat lembab dan kenyal. kemudian meenjadikan kulit saya menjadi lebih cerah dan terlihat segar dipagi hari. meskipun harganya lumayan pricey untuk anak kos seperti saya tetapi worth it dgn hasil yang nyata
dinjol,"Oily, Light, Neutral",2023-11-04,04 Nov 2023,"Produknya sangat bagus harganya jg masih masuk dikantong mahasiswa, sangat ngebantu skin barrier aku ya. Sangat ngelembapin muka, trs aku ga takut untuk pake makeup tipa hari krna ada skincare aku udh terjaga tiap hari pake produk skintific ini. Thankyouuu skintific!!😍😍"
sufisyahara,"Normal, Medium, Warm",2023-11-04,04 Nov 2023,"Moist teringan , cocok banget buat di oily skin , dipake juga lumayan ngelembapin, di aku ini ngaruh bgt dimuka , bikin muka lebih kenyal dan plumpy , juga bisa memperbaiki skin barrier kulit ku , ini salah satu produk yg akan terus aku stock dirumah , karna secocok itu."
sollychou,",45 and Above",2023-11-04,04 Nov 2023,produk ini bagus saya sering pake hand body di kulit saya cocok.wanginya juga enak di cium cream wajah juga lembut dan serum nya cocok di wajah saya sabun juga lembut dan harum Faceoil toner rambut seluruh nya bagus deh apalagi face wash nya busa banyak.
vanissya,"Combination, Medium, Warm",2023-11-04,04 Nov 2023,"bagus banget untuk melembabkan dan menjaga skinbarrier, cocok dikulit kombinasi aku, aku juga rekomendasikan ke temen-temen untuk pake moisturizer skintific inii, dan temen-temen aku juga pada cocok pake moisturizer ini. untuk kalian yang belom cobain yuk langsung cobain."
jessica8888,"Oily, Medium Light, Neutral",2023-11-04,04 Nov 2023,"teksturnya ringan dan bikin lembab cocok dpake di siang dan malam hari buat kulit lembab sepanjang hari, ga terlalu berat di wajah yang berminyak sehingga cocok untuk di pakai sepanjang hari untuk kulit kering juga cocok karena sangat melembabkan"
andriansyah007,",19 - 24",2023-11-04,04 Nov 2023,udh bagus kali wajah jadi cerah udh bagus banget lah pokok nya weeeeee produk nya gak bakal kecewain cocok juga di kantong kalian nyesel deh kalo gak mau cobaain produk ini aku aja pakek nya baru pertama langsung ketagihan buat cobain lagi dan lagi
Selvycantik14,"Oily, Light, Neutral",2023-11-04,04 Nov 2023,"Skintific product moisturizer ter baik ku!love banget udah berkalikali repurches, all product skintific sih terbaik baik menurut aku. Bebas dari jerawat dan sangat memperbaiki skin barier aku banget dari yang breakout akhirnya kinclong mantep pol"
debysephira,"Combination, Medium Light, Neutral",2023-11-04,04 Nov 2023,"Bagus banget sih ini asli, buat kulit jadi moist banget, the best , tapi sayang nya emang harga nya lumayan price ya, satu product aku bisa habis dalam 2 minggu doang haha , tapi emang ya worth it banget lah , the best banget skintific , aku sih bakalan repurcheas lagi"
catherinecrs,"Oily, Medium Light, Neutral",2023-11-04,04 Nov 2023,"salah satu mosturizer yang lumayan cocok di aku, engga buat nambah bruntusan atau jerawat abis makenya, di aku muka aku jadi hydrating dan lembap, bagus untuk perbaikin skin barrier juga tapi ga keliatan karna makenya belum lama, tp recommended"
widyautari10,"Dry, Medium Light, Neutral",2023-11-04,04 Nov 2023,"Produk bagus tekstur bagus muka jadi lembab tidak mudah berutusan, berutusan jadi hilng flek tidak dapat muncul poripori mengecil gampang menyerap aromanya wangi tahan di muka selama 12jam cinta banget sama produk ini pokoknya top bngat ini"
AdindaRahmawani20,"Combination, Medium Light, Neutral",2023-11-04,04 Nov 2023,"Produk bagus tekstur bagus muka jadi lembab tidak mudah berutusan, berutusan jadi hilng flek tidak dapat muncul poripori mengecil gampang menyerap aromanya wangi tahan di muka selama 12jam cinta banget sama produk ini pokoknya top bngat ini"
sitorus82,"Combination, Medium Light, Warm",2023-11-04,04 Nov 2023,"Pelembab yang bikin kulit kenyal, aku suka make dimalam haru jadinya pagi hari kulit wajah aku kenyal dan cerah, selalu aku bawa kemana mana karena packagingnya simple dan tidak ribet, ini pelembab favorite aku banget, sangat suka dan simple"
Wulanmdh_,"Normal, Light, Neutral",2023-11-04,04 Nov 2023,sangat ringan terus dia bisa memeperbaiki skin barier yg emang bener bener bagus sudah pemakain ke 6 moisturizer nya ini saya kurang lebih 5 bulan hasilnya benar benar bagus pokoknya harus coba moisturizee skintific yg ini deh sangat suka
NatasyaAsali,"Combination, Medium Light, Warm",2023-11-04,04 Nov 2023,"menurur aku ini bagus tapi ga yg must to have bgt kok guys, untuk di kulit ku yg kering ini kurang melembabkan, tapi ini ok bgt untuk di bawah make up. ga greasy juga, ga lengket dan ga peeling, agak over price sih sebenernya buat ku, tapi boleh bgt kok di cobain"
Nurlfdlh,"Normal, Medium Light, Neutral",2023-11-04,04 Nov 2023,"moisturizer skintific termasuk pelembab yang tahan ngunci kelembaban, teksturnya ringan, cocok untuk semua jenis kulit, moisturizer ini bisa juga meredakan jerawat dan menghilangkan bekas jerawat. saya memakai produk ini sudah dari lama sekitar setahun."
agtrchl,"Combination, Medium Light, Neutral",2023-11-04,04 Nov 2023,"Sangat Sangat bagus di pake nya ga kering trus ga buat muka jadi Berminyak seneng banget pakek nya karena jerawat saya skrg sudah sgt sgt mereda , yg cocok banget di aku yg sensitif ini muka nya jadi bisa ketemu sama produk yg bagus banget ini luv bangetttt"
noviianggra,"Dry, Medium Light, Neutral",2023-11-04,04 Nov 2023,"produknya bener bener melembapkan bangett!! mantul deh untuk harga segitu itu beneran worth the price. untuk kalian yang kulitnya sangat sangat kering dan udah lama banget ga pake skincare ini beneran memperbaiki kulit kalian yg super dry dan rusak, you must try it!"
salsarizka,"Combination, Medium Light, Neutral",2023-11-04,04 Nov 2023,"Sejauh ini, ini moist yang paling enak yang aku pakai. Lembapnya cukup dan bikin kulit jadi keliatan sehat (+) Teksturnya sedikit thick, cocok buat yang st. dry (+) Cepet ngebalikin skin barier yang rusak (-) Tapi sayang harganya lumayan pricey tapi sejauh ini worth it bgt sesuai dengan hasilnya👍🤍"
fidiah_tasya,"Combination, Medium Light, Neutral",2023-11-04,04 Nov 2023,"aku pakai produk skintific cocok banget untuk kumit ku yang berjerawat, mengcalmingkan kulit ku. dan perlahan jerawat ku mereda .. aku udah bolak balik beli .. aku cinta banget sama produk ini .. selalu setia deh sama skintific ini .. luve deh"
bryandeva,"Combination, Medium Light, Neutral",2023-11-04,04 Nov 2023,"moisturizer kesukaan kalau ngatasin bruntusan atau lagi breakout gacocok sama 1 produk, tinggal pake ini tp dijadiin overnight mask.. ampuh banget, semingquan pake muka mendingan bgt, meskipun harganya lumayan tapi ttp worth it... keren"
RejaAulia,"Combination, Medium Light, Warm",2023-11-04,04 Nov 2023,"Moisturizernya paling nyaman di muka, bisa bikin lembab kalo setiap bangun tidur. Teksturnya lebih ke gel cair gitu, aplikasinya ke muka juga gampang karena ada sendok aplikatornya, pokonya hydrated banget di kulit terutama yang punya kuliy kering"
kartikasitumorang,"Combination, Medium Light, Neutral",2023-11-04,04 Nov 2023,awal tau skintific dari temen aku dia yang kasi tau aku untuk coba product ini awalnya takut takut tapi dia kasi coba aku punya dia terus aku coba awalnya masih kayak gadak hasil tapi berapa kali coba baru ada hasil semenjak itu aku coba dan beli
Yachsifa,"Normal, Medium Light, Cool",2023-11-04,04 Nov 2023,"°• Best of the best moisturizer i have ever tried, ini kunci dari semua skincare yang aku pake. untuk kamu yang punya masalah dengan skinbarrier Skintific 5X Ceramide moisturizer ini bener bener recomended dari aku buat memperbaiki dan nguatin skinbarrier kamuu.."
ibniafifah,"Normal, Medium Light, Neutral",2023-11-04,04 Nov 2023,"bagus kali woyyy walaupun harga nya mahal tapi tetep worth it to buy untuk dibeli, ada harga ada kualitas, paling banyak diborong, bagus kali pokoknya moisturizer skintific ini jangan lupa dibeli buat kulit wajah bagus dan kinclong mantapp"
pipitt01,"Dry, Medium, Warm",2023-11-04,04 Nov 2023,"dapat melembabkan muka yang kering dan menyamar kan garis halus pada wajah, dipakai 2 kali sehai pagi dan siang,  cocok untuk semua jenis kulit wajib dicpba sih harga terjangkau dan sangat worth it untuk dibeli harga bisa di pakai cwek dan cowok"
yuliik,",25 - 29",2023-11-04,04 Nov 2023,"produk ini aku rekomendasiin banget. kulitku tipe yg berminyak dan beruntusan, namun setelah memakai ini skin barrier jauh lebih membaik, beruntusan berkurang, kulit tidak kering dan semakin kenyal. produknya ringan dan cepat menyerap"
Rieke_octaviani,"Normal, Medium Light, Neutral",2023-11-04,04 Nov 2023,"Tekstur ringan, melembabkan kulit, mencerahkan kulit, bagus untuk memperbaiki skin barrier. Sangat merekomendasikan produk ini dipakai untuk kulit yang memiliki masalah pada skin barrier. Harga terjangkau untuk dibeli kau pelajar"
rorose_,"Combination, Medium Light, Neutral",2023-11-04,04 Nov 2023,"belinya pas dulu hype banget, pas dipakai ringan banget. melembabkan juga padahal cuma pakai sedikit. hasil make up jadi ga pecah dan glowing. dulu belum ada bentukan tube nya sekarang jadi mau repurchase versi tube yang lebih besar dan pastinya lebih higenis."
beehrp13,",19 - 24",2023-11-04,04 Nov 2023,"Skintific tuh gk berhenti2 ya viral nya, sampe aku penasaran sebagus apasih dia. Aku uda cobain dua moisturizer skintific yang biru dan juga pink. Aku suka banget sama tekstur nya gk lengket dan mudah menyerap, kalau pakai yg biru aku gk terlalu liat hasilnya tapi yg pink beneran cerahin kulit"
Mpitli,"Dry, Medium Light, Warm",2023-11-04,04 Nov 2023,Produk nya bagus sering adaian diskon dimana manaa apala di mxb kemarin aku borong banyak yeee lumayan untuk stok 6 bulan aku soal nya pakai nya agak boros ni sakin suka nya dengan tektur nya dan cepat meresap di kulit aku juga baik baik ajaa aman semua
Riko15_,"Normal, Medium, Neutral",2023-11-04,04 Nov 2023,tekstur nya bagus harganya murah dan terjangkau gampang di bland memperbaiki skin barier dan meredakan kemerahan serta menenangkan kemerahan dan meredakan jerawat dan melembabkan kulit nyaman dipakai dan mudah menyerap serta kandungan yg berkualitas.
Kiraraamber,"Combination, Light, Cool",2023-11-04,04 Nov 2023,"sesuai klaimnya produk ini Mayan ampuh ilangin bruntusan sama bikin skin texture ku membaik. Gel to cream,ringan, cepat nyerap, bikin adem kulit. gampang dilayer, dipake di bawah make up juga ok, cukup hidrasi,otw repurchase pot ke dua sih ini"
fadhillafadsya,"Oily, Medium Dark, Warm",2023-11-04,04 Nov 2023,aku cocok pakai ini setelah pemakaian 1 bulan sudah nampak hasilnya lovvv bngtttt❤️bshsjshajsbbsvsgsgsywuueueueisbsvdvdhusjdbdhdudidnbdhdididkdjbdbdhdhdhhdueuevdvnzjsospwpamnabsbzhzhsbvshejebshsibehehehsheiwjqoownsnssjjs
eriskaprimaya,"Dry, Medium, Neutral",2023-11-04,04 Nov 2023,"mouisturizer kesayangan yg cocok banget di kulit keringku, harganya emang pricey untuk isi 30gr 🥹 teksturnya gel yg bikin cepet banget meresap di kulit. must have banget pokoknya. bisa mengurangi bekas jerawat dan bikin kulit terhidrasi ✨✨"
Lana10_,"Combination, Medium, Neutral",2023-11-04,04 Nov 2023,"Produk bagus membantu mengurangi bekas jerawat dan membuat kulit lembut. membantu menghilangkan jerawat kemerahan disekitar dahi, pipi, hidung dan bawah dagu. skintific adalah rekomendasi produk Indonesia terbaik menuju saya yang pertama pertama kali mencoba."
Karha,"Oily, Medium, Neutral",2023-11-04,04 Nov 2023,pertama kali pake ini waktu moistnya viral banget dan aku ada problem dengan jerawat dan bekas jerawat. jadi pake yang acne series. tekstur nya lembut banget moistnya bikin muka kenyel. tapi kurang ngaruh di aku. untuk maskernya nampol banget buat ngecilon pori pori.
angietalubis,",25 - 29",2023-11-04,04 Nov 2023,"Bagus kali saat di oles sensasi dingin, nyamanan dan bruntusan diwajahku beneran sangat berkurang. pas applynya gampang dan mudah. Karena aku sering keluar kota kemasannya itu aman, nggak tumpah jadinya. Pokoknya top kali sih udah jempol"
nadyahrp09,"Combination, Light, Neutral",2023-11-04,04 Nov 2023,buat kamu yang lagi bingung mau cari moisturizer. cobain deh skintific moisturizer ! Ini kesian kalinya aku beli skintific moisturizer. Cocok banget dikulit aku yg kering.5x ceramide yg terkandung di dlm moistini emang seampuh itu buat ngelembapin kulitku.
dhagemoi,"Combination, Medium Light, Cool",2023-11-04,04 Nov 2023,"skintific termasuk skincare mahal untukku, tapi worth it. ga nyesel beli mahal tp enak baguss, kulitku lembut, jerawat mereda padahal ini moist ga ngerti kok bisa nyembuhi jerawat juga laffff, selalu nunggu promo mau belinyaa, teksturnya lembut, di kulit dingin, enak bgt 🤍🤍🤍"
Belaharahap13,"Combination, Medium Light, Cool",2023-11-04,04 Nov 2023,"Skintific tuh gk berhenti2 ya viral nya, sampe aku penasaran sebagus apasih dia. Aku uda cobain dua moisturizer skintific yang biru dan juga pink. Aku suka banget sama tekstur nya gk lengket dan mudah menyerap, kalau pakai yg biru aku gk terlalu liat hasilnya tapi yg pink beneran cerahin kulit"
faridah_ulfah,"Combination, Medium, Neutral",2023-11-03,03 Nov 2023,moisturizer skintific ini bisa dibilang salah satu gong nya produk skintific. sangat cocok di kulit mudah jerawatan seperti aku. tekstur nya sangat mudah menyerap dan sangat sangat melembabkan kulit aku. cinta banget sama produk skintific yang satu ini. udah hampir 10 tube aku pake dan belum pernah ganti sejak awal beli 🥰💙
adelinerosabella,"Dry, Medium Light, Warm",2023-11-03,03 Nov 2023,"Moisturizer ini sangat gampang dipakai, dan sudah diakui oleh banyak teman termasuk para cowo"" karena beneran bisa memperbaiki skin barier. Pernah coba purchase yang kecil, karena cocok jadinya purchase yang besar. Akan purchase lagi kedepannya."
Bernikegtg,"Combination, Medium, Neutral",2023-11-03,03 Nov 2023,Brand ini selalu yang banyak di mintai banyak orang. Memang terbukti bahwa kualitas nya memang sangat bagus. Tidak terlalu mahal. Buat kulit sensitif sangatlah aman. Jadi untuk pemula juga bisa pakai ini. Apalagi untuk laki-laki juga bisa pakai ini kok
hotmanatasya,"Oily, Medium Light, Neutral",2023-11-03,03 Nov 2023,"akuu suka banget sama moisturizer ini karena diaa ga buat kulit kering dan jadi keliatan kenyal + sehat, mudahh nyerap jugaa jadi ga makan waktu lamaa + teksturnyaa bener bener lembutt pokoknyaa buat semua org yg mau nyari moist ga ribet dan mantap diwajah harus try this sih"
noviraszlika,"Oily, Medium, Neutral",2023-11-03,03 Nov 2023,"sejujurnya aku suka banget yaa sama produk ini, bimin skinbarrier membaik bgtt, bikin sedikit cerah dan mulus jadi keliatan bagus deh with bare face aja aku udah pede bgt klo pke mois ini, taaapiiiii ini tu kemahalan bgttt buat aku yg duitnya suka habis untuk anabul:) TAPIII JUJURLYYY INI PRODUK ENAK DAN WORTHIT BGTTT!!"
Sabrinarohaya,"Normal, Medium Light, Neutral",2023-11-03,03 Nov 2023,"Ini adalah moisture dari skintific yang wajib kalian punya, cocok banget buat dipakai sebelum melakukan aktifitas kalian bisa gunakan sebelum memakai sunscreen dan make ip jadi ini untuk base nya gitu, bisa diapakai pagi siang dan malam hari"
shevirawanda,"Combination, Medium Light, Neutral",2023-11-03,03 Nov 2023,"Menurut aku sih ini lebih cocok buat tipe kulit yang normal to oily soalnya di aku yang kulitnya normal to dry tuh berasa kurang nampol gitu lembab nya, tapi so far sih oke dan cocok cocok aja soalnya bikin tekstur wajah jadi lebih halus dan pas apply di wajah lumayan ringan"
cindys30,"Oily, Medium, Neutral",2023-11-03,03 Nov 2023,"Pernah jerawat sangat meradang.. saya cuma pakai product ini doang, langsung jerawatmya merada. Harganya agak mahal sih untuk mahasiswa, tapi sangat worth it untuk belinya. Teksturnya gel gitu dan samgat ringan diwajah setelah di aplikasikan"
suci123ft,"Oily, Medium Dark, Warm",2023-11-03,03 Nov 2023,skintific ini tu brand yang produknya tu jempolan semua deh 👍 bangus2 banget 😭👍. aku pakai moist nya yg ini tu beneran ngelembapin parah. muka aku tu tipe yg oily tapi moist ini tu gak buat muka makin oily tapi bener2 ngelembapinnya juara deh terus mencerahkanya juga dapat banget 👍😭. gak bikin beruntusan atau purging bagus deh pokoknya. kemasanya juga bagus dan menarik tapi harganya lumayan mahal 😭🙏. tapi sukaaaa banget sama skintific ❤️
endanggstwt,"Combination, Medium Light, Cool",2023-11-03,03 Nov 2023,"awalnnya pake yang kecil tapi langsung jatuh cinta, malah sekrang sati keluarga pake serangkaian dari skintific. yang paling nampol sih 5xceramide ini karna benar benar nge hydrate muka se lembab lembab nya. you have to try guys, very reccommended"
